"Country.Name","Country.Code","X2015","gdp","sani","pre","pri","sec","ter","smo.Daily.tobacco","smo.Daily.cigarettes","ob","al","co2","hiv"
"Senegal","SEN",66.66143902,14765462631,47.6,14.90421009,82.17194366,49.64675903,10.38665962,9.5,6.8,57.1,0.5,0.608809117,0.5
"Sierra Leone","SLE",51.41285366,3668876080,13.3,10.16469955,127.598938,43.2502594,49.7572694095001,25.7,20.6,31.8,8.2,0.184925702,1.4
"El Salvador","SLV",73.00309756,26797470000,75,72.17149353,109.1791306,79.42540741,29.1310997,18.4,15.264,59.9,3.5,1.000644623,0.5
"Serbia","SRB",75.48780488,37745114708,96.4,58.17150879,101.3429184,96.66960907,58.28768921,33.5,31.1,36.8,12.9,5.282521917,1.32
"Sao Tome and Principe","STP",66.41665854,351054248.5,34.7,51.2073288,113.6001968,84.93818665,13.4060297,18.4,15.264,69.7,6.8,0.59433982,0.8
"Suriname","SUR",71.28619512,3620699735,79.2,93.37789154,122.8117218,81.14267731,46.0134351943973,18.4,15.264,38.4,6.5,3.634019433,1
"Slovak Republic","SVK",77.21219512,89551834323,98.8,93.63923645,99.73207092,92.46653748,62.1006742996122,22,18.8,56.1,12.5,5.661581328,0.1
"Slovenia","SVN",81.07804878,43990635176,99.1,86.8751656190667,105.393520731,88.6652234137333,37.1822934792953,17.7,14.9,55,10.9,6.213686845,0.1
"Sweden","SWE",82.55121951,5.11e+11,99.3,93.93657684,123.0191879,140.4588318,62.30076981,11.8,11.8,54.3,8.7,4.478182178,0.2
"Swaziland","SWZ",56.91236585,3727303664,57.5,73.5213041231533,100.987148037472,75.8522001253,48.9332417268653,7.1,4.8,56.4,6.4,0.928714992,27.7
"Syrian Arab Republic","SYR",70.25265854,1035471116186.4,95.7,71.90551691266,95.6921993912,84.2516538442,44.04861832,18.4,15.264,45.3,1.4,1.598898459,0.1
"Chad","TCD",52.55395122,9600761474,12.1,61.5932320826,103.3351345735,76.5344990072,48.6052696706625,18.4,15.264,23.1,4.4,0.053777688,2.5
"Togo","TGO",59.92370732,4399995987,11.6,17.53702927,121.7996521,99.5981932801778,10.62596035,18.4,15.264,78.5,1.9,0.362696892,2.4
"Thailand","THA",75.068,4.07e+11,93,69.1118927,102.7294617,129.001709,48.85744095,18.2,17.4,21.6,8.3,4.621860032,1.1
"Tajikistan","TJK",71.00712195,6951657159,95,10.64758968,98.18959808,97.9442310349333,26.37450027,18.4,15.264,32.6,2.4,0.620466725,0.4
"Trinidad and Tobago","TTO",70.58885366,20989155540,91.5,81.292924072075,110.06811982,97.2682558471587,57.40045261515,18.4,15.264,61.6,6.6,34.16324263,0.7488
"Tunisia","TUN",75.49704878,42062549395,91.6,43.94681931,114.1744766,88.20406342,34.60657883,18.4,15.264,66.8,1.2,2.587059584,0.1
"Turkey","TUR",75.40709756,8.58e+11,94.9,28.92580986,102.4896698,102.4887619,94.7322998,22.4,21.4,51.8,2.4,4.491479026,0.610666667
"Tanzania","TZA",64.90331707,47431038892,15.6,31.78346062,81.70601654,76.9908128669,46.1292400163481,11.9,10,58.1,8.1,0.221347372,5.3
"Uganda","UGA",59.5087561,25527910091,19.1,11.62561989,98.0217454543,23.23653984,63.405527972,6.6,5.3,58.4,10.5,0.134656001,7.3
"Ukraine","UKR",71.1895122,93270479389,95.9,58.2812906403083,102.029117309227,86.9753632607333,45.9597417354167,25.4,24.1,67.8,11.8,5.020747064,1.2
"Uruguay","URY",77.13163415,52419720714,96.4,63.241801127485,101.058996830367,88.1122286892333,55.56626892,18.9,17.6,62.9,7,1.973150822,0.7
"United States","USA",78.74146341,1.86e+13,100,70.83908081,100.1470413,81.8462721474,85.79577637,14.3,14.3,67.9,9,16.49366613,0.78556
"Uzbekistan","UZB",71.14568293,67220335570,100,26.02448082,102.0940094,95.6401825,8.787750244,10.4,8.5,48.2,4.8,3.420722746,0.2
"South Africa","ZAF",61.93409756,2.95e+11,66.4,81.971848838725,100.3466516204,93.0175115756667,43.5017109086307,16.1,11.7,61.6,11.5,9.045270345,18.9
