Country.Name,Country.Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Equatorial Guinea,GNQ,30.56900978,26.9594593,26.71907997,,,27.37130928,,,,,,,,,,,
Greece,GRC,89.93728638,93.55560303,98.01811218,95.08769989,95.03827667,99.64308929,99.2351532,96.9108429,,,104.9792633,103.0015106,105.1684494,108.1978302,106.4993591,,
Grenada,GRD,,,108.0513916,111.2025681,103.5475998,97.79457855,,110.884697,110.1404495,100.7857513,107.7990265,,,101.139801,100.8493881,99.17962646,
Guatemala,GTM,36.16366959,39.00278091,42.8053894,,47.26435089,49.75881958,52.00337982,54.10194016,55.12557983,57.3280983,63.14287186,63.7431488,64.07070923,64.15612793,63.53115845,65.62670135,
Guyana,GUY,,102.1673813,,94.53766632,,96.86823273,,88.32749939,87.00611877,88.05554199,88.64228058,92.48394012,89.33683777,,,,
High income,HIC,99.33222961,99.95388794,100.1536484,100.8377838,99.86563873,100.7627029,100.1709671,100.3146896,100.5491562,100.6300507,100.9379425,100.8787766,101.4388428,105.6371384,106.3484802,106.6345596,
"Hong Kong SAR, China",HKG,,77.06687927,76.89452362,77.31925201,78.99212646,80.40236664,80.90341949,82.9851532,84.69458771,86.16648102,88.0195694,87.21755981,107.2292633,101.0338211,100.6335983,100.8419037,
Honduras,HND,,,,,,,61.16965103,63.63008881,64.19106293,,72.63659668,73.0977478,72.51013947,70.6631012,68.38008881,70.77558899,
Heavily indebted poor countries (HIPC),HPC,21.95677948,23.00101089,24.08069992,25.0528698,26.39365959,27.77869034,29.51139069,31.29643059,33.4192009,35.22211075,36.74568176,37.76868057,38.67235947,39.16217041,39.86618042,,
Croatia,HRV,85.52747345,85.76460266,86.85450745,88.31845093,,93.14652252,94.93402863,96.90339661,98.96221161,100.6282883,100.713913,99.88217163,99.76705933,100.0900269,98.99999237,98.21647644,
Hungary,HUN,96.18340302,98.50523376,100.142189,102.2434464,95.93939209,96.1855011,95.90943146,96.07066345,96.61284637,97.8855896,99.93418121,100.770668,101.8602295,108.1988602,106.9843597,105.2037735,
IBRD only,IBD,62.40842056,62.70901871,63.6554985,64.85482788,65.96856689,67.10089874,68.34053802,70.68517303,72.96685791,74.09658813,76.81329346,79.35343933,81.18118286,82.76820374,82.45755768,,
IDA & IBRD total,IBT,54.91558838,55.38293076,56.33766174,57.38132095,58.38734055,59.23332977,60.39028168,62.15008926,63.94279861,64.99063873,67.09732819,68.85379791,70.2065506,71.39096069,71.16118622,,
IDA total,IDA,33.69208145,34.65710068,35.66350937,36.41329956,37.38621902,37.94355011,39.43807983,40.35303116,41.6600914,43.18267059,44.66579819,45.40216064,46.3633194,47.26234055,47.77656937,,
IDA blend,IDB,39.1702919,40.02856827,40.56533051,41.2808609,42.76753998,43.04465866,44.78952026,45.40700912,46.49441147,47.69112015,49.30361176,49.7469101,50.34777832,50.86735153,51.54893875,,
