Country name,Country code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
NEPAL,NPL,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
NEW ZEALAND,NZL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
OMAN,OMN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
PAKISTAN,PAK,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PANAMA,PAN,1.1,1.1,1.1,1.1,1.1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.6
PERU,PER,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
PHILIPPINES,PHL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PAPUA NEW GUINEA,PNG,0.8,0.9,0.9,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7
POLAND,POL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PORTUGAL,PRT,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,
PARAGUAY,PRY,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4
QATAR,QAT,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,
ROMANIA,ROU,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
RWANDA,RWA,5.3,5,4.6,4.3,3.9,3.7,3.5,3.4,3.3,3.2,3.1,3,3,2.9,2.8
SUDAN,SDN,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SENEGAL,SEN,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.5
SINGAPORE,SGP,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
SIERRA LEONE,SLE,1,1.1,1.3,1.4,1.6,1.6,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4
EL SALVADOR,SLV,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5
SOMALIA,SOM,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5
SERBIA,SRB,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
SOUTH SUDAN,SSD,2.1,2.3,2.4,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7
SAO TOME AND PRINCIPE,STP,1.7,1.7,1.7,1.6,1.6,1.5,1.4,1.4,1.3,1.2,1.1,1,0.9,0.8,0.8
SURINAME,SUR,1,1.1,1.1,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1,1
SLOVAKIA (SLOVAK REPUBLIC),SVK,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SLOVENIA,SVN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SWEDEN,SWE,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SWAZILAND,SWZ,25.2,25.9,26.3,26.6,26.7,26.7,26.7,26.8,27,27.1,27.4,27.6,27.7,27.8,27.7
SYRIAN ARAB REPUBLIC,SYR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHAD,TCD,3.3,3.4,3.5,3.5,3.5,3.5,3.4,3.3,3.2,3.1,3,2.9,2.8,2.6,2.5
TOGO,TGO,3.5,3.5,3.6,3.5,3.4,3.4,3.3,3.2,3,2.9,2.8,2.7,2.6,2.5,2.4
THAILAND,THA,2.1,2,1.9,1.8,1.7,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.1
TAJIKISTAN,TJK,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4
TRINIDAD AND TOBAGO,TTO,1.3,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,
TUNISIA,TUN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TURKEY,TUR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
"TANZANIA, UNITED REPUBLIC OF",TZA,7.9,7.8,7.6,7.4,7.2,7,6.8,6.6,6.4,6.2,6.1,5.9,5.7,5.5,5.3
UGANDA,UGA,7.4,6.9,6.6,6.4,6.3,6.3,6.4,6.5,6.6,6.8,6.9,7.1,7.2,7.2,7.3
UKRAINE,UKR,0.7,0.8,0.9,1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
URUGUAY,URY,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7
UNITED STATES,USA,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,,,
UZBEKISTAN,UZB,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
VENEZUELA,VEN,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6
VIET NAM,VNM,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
YEMEN,YEM,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SOUTH AFRICA,ZAF,15.7,16.5,17.1,17.5,17.8,18,18.1,18.2,18.3,18.4,18.4,18.5,18.6,18.8,18.9
ZAMBIA,ZMB,14.3,14.3,14.1,14,13.8,13.6,13.5,13.3,13.2,13.1,13,12.9,12.8,12.6,12.4
ZIMBABWE,ZWE,28.4,27.2,25.9,24.5,23.1,21.8,20.7,19.7,18.9,18.4,18,17.7,17.4,17,16.7
