"Country.Name","Country.Code","life","gdp","sani","pre","pri","sec","ter","smo.tob","smo.cig","ob","al","co2","hiv"
"Senegal","SEN",66.66143902,14765462631,47.6,14.72313976,80.87622833,42.951049805,10.34119987,9.5,6.8,57.1,0.5,0.608809117,0.4
"Serbia","SRB",75.48780488,37745114708,96.4,59.16468811,116.636864022,44.846971105875,58.05496979,33.5,31.1,36.8,12.9,5.282521917,0.1
"Sierra Leone","SLE",51.41285366,3668876080,13.3,11.2756810320313,101.1311569,94.34441376,6.92784204216667,25.7,20.6,31.8,8.2,0.184925702,1.7
"Slovenia","SVN",81.07804878,43990635176,99.1,93.41893005,111.7435532,76.89806366,82.92642975,17.7,14.9,55,10.9,6.213686845,0.1
"South Africa","ZAF",61.93409756,2.95e+11,66.4,77.36849213,119.9516678,77.43170166,19.37507057,16.1,11.7,61.6,11.5,9.045270345,18.9
"Spain","ESP",83.3804878,1.23e+12,99.9,98.04814148,99.30357361,110.6707535,89.07212067,25.7,23,23.3,10.6,5.033824487,0.4
"Sri Lanka","LKA",74.98895122,81321876307,95.1,93.60626221,120.9007568,132.9109344,19.28763962,10.9,7.5,28.9,4.5,0.885545809,0.1
"Sudan","SDN",64.22941463,95584380032,27.9855577475,37.5253257968,112.7658081,66.02809143,16.32061005,18.4,15.264,58.9,2.7,0.3748871956,0.2
"Suriname","SUR",71.28619512,3620699735,79.2,93.66291046,104.1484528,79.14945221,32.6355924623889,18.4,15.264,38.4,6.5,3.634019433,1.4
"Swaziland","SWZ",56.91236585,3727303664,57.5,30.054474256,108.2943985844,71.8788763161333,8.740167438875,7.1,4.8,56.4,6.4,0.928714992,27.2
"Sweden","SWE",82.55121951,5.11e+11,99.3,95.67048645,93.733413159025,33.7593503025,62.35348129,11.8,11.8,54.3,8.7,4.478182178,0.2
"Tajikistan","TJK",71.00712195,6951657159,95,14.5612792818229,97.34558868,90.9994060072222,24.47492027,18.4,15.264,32.6,2.4,0.620466725,0.3
"Thailand","THA",75.068,4.07e+11,93,72.78838348,136.8142548,73.07430267,52.50537109,18.2,17.4,21.6,8.3,4.621860032,1.1
"Togo","TGO",59.92370732,4399995987,11.6,15.04014015,102.957179284,96.093395998,10.11762047,18.4,15.264,78.5,1.9,0.362696892,2.1
"Trinidad and Tobago","TTO",70.58885366,20989155540,91.5,99.798811338,105.8253632,102.5412369,17.76144376565,18.4,15.264,61.6,6.6,34.16324263,1.2
"Tunisia","TUN",75.49704878,42062549395,91.6,42.80464172,110.52582856,35.1414479245,34.58367157,18.4,15.264,66.8,1.2,2.587059584,0.1
"Uganda","UGA",59.5087561,25527910091,19.1,10.81548023,108.554718,95.07186127,4.760819912,6.6,5.3,58.4,10.5,0.134656001,6.5
"Ukraine","UKR",71.1895122,93270479389,95.9,88.3986025219333,100.1556625,96.33351898,82.30503082,25.4,24.1,67.8,11.8,5.020747064,0.9
"Uruguay","URY",77.13163415,52419720714,96.4,88.43395996,106.1592102,86.85121918,56.34403992,18.9,17.6,62.9,7,1.973150822,0.6
